a52dec 0.8.0-2
libvorbis 1.3.7-3
libvpl 2.10.1-1
libvterm 0.3.3-1
libwacom 2.9.0-2
libwbclient 4.19.4-1
libwireplumber 0.4.17-1
libwnck3 43.0-3
libwpe 1.14.2-1
libx11 1.8.7-1
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcrypt-compat 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-2
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfce4ui 4.18.4-1
libxfce4util 4.18.1-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml2 2.12.4-1
libxmlb 0.3.15-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxvmc 1.0.13-2
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
licenses 20240115-1
lilv 0.24.24-1
linux-api-headers 6.4-1
linux-firmware-bnx2x 20240115.9b6d0b08-1
linux-firmware-liquidio 20240115.9b6d0b08-1
linux-firmware-mellanox 20240115.9b6d0b08-1
linux-firmware-nfp 20240115.9b6d0b08-1
linux-firmware-qlogic 20240115.9b6d0b08-1
linux-firmware-whence 20240115.9b6d0b08-1
lirc 1:0.10.2-3
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.31-1
lsof 4.99.0-1
lua 5.4.6-3
lua51 5.1.5-11
luajit 2.1.1702233742-1
lv2 1.18.10-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
mariadb-clients 11.2.2-1
mariadb-libs 11.2.2-1
mathjax2 2.7.9-1
mbedtls 3.5.1-1
md4c 0.5.2-1
minizip 1:1.3.1-1
mjpegtools 2.2.1-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mpfr 4.2.1-1
mpg123 1.32.4-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mujs 1.3.4-1
ncurses 6.4_20230520-1
neon 0.32.5-2
nettle 3.9.1-1
nfsidmap 2.6.4-1
nftables 1:1.0.9-1
node-gyp 10.0.1-1
nodejs-nopt 7.2.0-1
npth 1.6-4
nspr 4.35-2
nss 3.97-1
oath-toolkit 2.6.11-1
obconf 2.0.4-8
ocl-icd 2.3.2-1
oniguruma 6.9.9-1
open-isns 0.102-3
openal 1.23.1-1
openbox 3.6.1-10
opencore-amr 0.1.6-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.6-3
openpmix 4.2.8-1
openssl 3.2.0-1
opus 1.4-1
orc 0.4.36-1
p11-kit 0.25.3-1
pacman 6.0.2-8
pacman-contrib 1.10.4-1
pacman-mirrorlist 20231001-1
pam 1.6.0-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.4-1
pbzip2 1.1.13-3
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
perl 5.38.1-1
perl-alien-build 2.80-2
perl-alien-libxml2 0.19-2
perl-cairo-gobject 1.005-2
perl-capture-tiny 0.48-7
perl-clone 0.46-2
perl-data-dump 1.25-4
perl-dbi 1.643-6
perl-error 0.17029-5
perl-ffi-checklib 0.31-3
perl-file-chdir 0.1011-5
perl-file-which 1.27-3
perl-glib-object-introspection 0.051-1
perl-gtk3 0.038-4
perl-mailtools 2.21-7
perl-path-tiny 0.144-2
perl-timedate 2.33-5
perl-xml-libxml 2.0209-1
perl-xml-namespacesupport 1.12-5
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-5
pigz 2.8-1
pinentry 1.2.1-3
pipes.sh 1.3.0-1
pipewire-audio 1:1.0.1-2
pixman 0.43.2-1
pixz 1.0.7-4
pkcs11-helper 1.30.0-1
poppler 24.01.0-1
poppler-data 0.4.12-1
poppler-glib 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-2
psmisc 23.6-1
python 3.11.6-1
python-annotated-types 0.6.0-1
python-argcomplete 2.0.0-2
python-attrs 23.1.0-1
python-autocommand 2.2.2-4
python-babel 2.12.1-2
python-botocore 1.34.22-1
python-cachetools 5.3.2-2
python-cairo 1.25.1-1
python-certifi 2023.11.17-1
python-cffi 1.16.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-colorama 0.4.6-2
python-configobj 5.0.8-4
python-cryptography 41.0.7-1
python-dateutil 2.8.2-6
python-distlib 0.3.8-1
python-docopt 0.6.2-12
python-docutils 1:0.20.1-1
python-fastjsonschema 2.19.1-1
python-filelock 3.13.1-1
python-gobject 3.46.0-1
python-idna 3.6-1
python-imagesize 1.4.1-4
python-inflect 7.0.0-2
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.text 3.12.0-1
python-jinja 1:3.1.3-1
python-jmespath 1.0.1-2
python-jsonpatch 1.33-1
python-jsonpointer 2.4-1
python-jsonschema 4.21.1-1
python-jsonschema-specifications 2023.12.1-1
python-lxml 4.9.2-3
python-markupsafe 2.1.4-1
python-mock 3.0.5-11
python-more-itertools 10.1.0-1
python-netifaces 0.11.0-4
python-nose 1.3.7-15
python-oauthlib 3.2.2-2
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pbr 6.0.0-1
python-pillow 10.2.0-1
python-platformdirs 4.1.0-1
python-pluggy 1.4.0-1
python-ply 3.11-12
python-psutil 5.9.7-1
python-pyasn1 0.5.0-1
python-pycparser 2.21-5
python-pydantic 2.5.3-1
python-pydantic-core 1:2.14.6-1
python-pygments 2.17.2-1
python-pyproject-api 1.6.1-1
python-pyrsistent 0.19.3-3
python-pyserial 3.5-5
python-pytz 2023.3.post1-1
python-referencing 0.33.0-1
python-requests 2.31.0-1
python-rpds-py 0.17.1-1
python-rsa 4.9-3
python-s3transfer 0.10.0-1
python-setuptools 1:69.0.3-1
python-six 1.16.0-8
python-snowballstemmer 2.2.0-5
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.16-1
python-sphinxcontrib-applehelp 1.0.7-1
python-sphinxcontrib-devhelp 1.0.5-1
python-sphinxcontrib-htmlhelp 2.0.4-1
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.6-1
python-sphinxcontrib-serializinghtml 1.1.9-1
python-tomli 2.0.1-3
python-tox 4.11.4-1
python-trove-classifiers 2024.1.8-1
python-typing_extensions 4.9.0-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-virtualenv 20.25.0-1
python-wheel 0.42.0-1
python-yaml 6.0.1-2
qpdf 11.8.0-1
qrencode 4.1.1-2
qt5-base 5.15.12+kde+r147-1
qt5-declarative 5.15.12+kde+r31-1
qt5-graphicaleffects 5.15.12-1
qt5-location 5.15.12+kde+r6-1
qt5-quickcontrols 5.15.12-1
qt5-quickcontrols2 5.15.12+kde+r5-1
qt5-svg 5.15.12+kde+r6-1
qt5-translations 5.15.12-1
qt5-webchannel 5.15.12+kde+r3-1
qt5-webengine 5.15.16-3
qt5-x11extras 5.15.12-1
qt6-base 6.6.1-3
qt6-svg 6.6.1-1
qt6-translations 6.6.1-1
raptor 2.0.16-4
rav1e 0.7.1-1
readline 8.2.010-1
recode 3.7.14-1
rhash 1.4.4-1
rnnoise 0.4.1-1
rpcbind 1.2.6-3
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.5.4-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
